Image Name,ID,CTE,Yaw
image_00000.png,1,0.040245064,-1.5047503490784702
image_00001.png,2,0.0372274,-1.2305259997158369
image_00002.png,3,0.040245064,-1.4521926640158571
image_00003.png,4,0.04081258,-1.4229815259407999
image_00004.png,5,0.04111459,-1.4083786282548665
image_00005.png,6,0.041084766,-1.4010745080603044
image_00006.png,7,0.041054938,-1.3937703878657424
image_00007.png,8,0.040650003,-1.348759011847745
image_00008.png,9,0.040245064,-1.3037476358297477
image_00009.png,10,0.0372274,-1.1300246430914758
image_00010.png,11,0.034209732,-0.9563016503532036
image_00011.png,12,0.020258738,-0.31356223308799847
image_00012.png,13,0.006307745,0.3291771841772066
image_00013.png,14,-0.014605091,1.231658722889182
image_00014.png,15,-0.035517927,2.1341402616011576
image_00015.png,16,-0.10065904,3.3449830495465296
image_00016.png,17,-0.19776556,3.3449830495465296
image_00017.png,18,-0.22768182,3.3449830495465296
image_00018.png,19,-0.22768182,3.3449830495465296
image_00019.png,20,-0.22768182,3.3449830495465296
image_00020.png,21,-0.22768182,3.3449830495465296
image_00021.png,22,-0.22768182,3.3449830495465296
image_00022.png,23,-0.22768182,3.3449830495465296
image_00023.png,24,-0.22768182,2.3785802547665433
image_00024.png,25,-0.19776556,-0.6529079827025355
image_00025.png,26,0.042685002,-0.7923954536481392
image_00026.png,27,0.042685002,-2.099934765944111
image_00027.png,28,0.042685002,-2.099934765944111
image_00028.png,29,0.050246682,-2.279271508753733
image_00029.png,30,0.05090688,-3.2878403036172728
image_00030.png,31,0.05090688,-3.2878403036172728
image_00031.png,32,0.05090688,-3.2878403036172728
image_00032.png,33,0.05090688,-3.2878403036172728
image_00033.png,34,0.05090688,-3.2878403036172728
image_00034.png,35,0.05090688,-3.2878403036172728
image_00035.png,36,0.05090688,-2.450182907206969
image_00036.png,37,0.05090688,-2.450182907206969
image_00037.png,38,0.071702346,-2.450182907206969
image_00038.png,39,0.05090688,-2.279271508753733
image_00039.png,40,0.05090688,-2.279271508753733
image_00040.png,41,0.037647225,-2.099934765944111
image_00041.png,42,0.081172906,-2.450182907206969
image_00042.png,43,0.081516035,-3.2878403036172728
image_00043.png,44,0.081516035,-3.2878403036172728
image_00044.png,45,0.081172906,-3.236762097816693
image_00045.png,46,0.081172906,-3.236762097816693
image_00046.png,47,0.081172906,-3.236762097816693
image_00047.png,48,0.081172906,-3.236762097816693
image_00048.png,49,0.07562115,-2.450182907206969
image_00049.png,50,0.014036431,-0.587245358843137
image_00050.png,51,0.006234648,0.19561285564393022
image_00051.png,52,-0.0019286864,0.4812103021172518
image_00052.png,53,-0.009437939,0.9383538604273578
image_00053.png,54,-0.009437939,0.9383538604273578
image_00054.png,55,-0.009437939,0.9383538604273578
image_00055.png,56,0.006234648,0.4812103021172518
image_00056.png,57,-0.009437939,0.9383538604273578
image_00057.png,58,-0.023471693,1.3552688910812898
image_00058.png,59,-0.023471693,1.3552688910812898
image_00059.png,60,-0.026622187,1.4655275551673448
image_00060.png,61,-0.029970542,1.5466810046967912
image_00061.png,62,-0.029970542,1.6347817168568335
image_00062.png,63,-0.029970542,1.6347817168568335
image_00063.png,64,-0.026622187,1.5466810046967912
image_00064.png,65,-0.023471693,1.3552688910812898
image_00065.png,66,-0.009437939,0.9383538604273578
image_00066.png,67,-0.007878367,0.6551226011178587
image_00067.png,68,0.072267845,-3.9729281125255365
image_00068.png,69,0.072267845,-3.9729281125255365
image_00069.png,70,0.072267845,-3.703158975126873
image_00070.png,71,-0.007878367,0.6551226011178587
